"STATION","NAME","DATE","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","FZF0","FZF1","FZF2","FZF3","FZF4","FZF5","FZF6","FZF7","FZF8","FZF9","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00252065","CULBERTSON, NE US","1922","640.7","640.7","        60","        34","        4","         6","        17","       167","        19","       181","        82","-21.1","102","102.0","33.8","40.6","-1.1","-5.0","-5.0","-11.1","-11.1","-1.1","-3.3","-4.4","-7.8","-11.1","3090.4","3090.4","365.6","409.0","10.8","20.1","1.5"
"USC00252065","CULBERTSON, NE US","1923",,,"        77","        59","        6","         5","         7","       175",,,,"-23.9","76","76.0","56.1",,"-1.7","-2.2","-6.7","-6.7","-11.1","-2.8","-2.8","-7.8","-7.8","-9.4","3224.9","3224.9","802.6","373.0",,,"2.2"
"USC00252065","CULBERTSON, NE US","1924","460.8","460.8","        63","        43","        0","        18","        29","       172","        37","       173","        45","-29.4","0","254.0","38.1","39.4","-2.2","-2.2","-7.2","-7.2","-8.9","-0.6","-3.9","-6.1","-7.2","-9.4",,,"515.4","1752.0","9.4","18.0","0.8"
"USC00252065","CULBERTSON, NE US","1925","656.1","656.1","        49","        40","        0","         6","        17","       168","        24","       168","        63","-25.0","0","178.0","36.3","41.7","0.0","-3.3","-5.6","-6.7","-11.1","0.0","-5.0","-5.0","-7.8","-18.9","3332.0","3332.0","518.3","559.0","11.0","19.5","2.5"
"USC00252065","CULBERTSON, NE US","1926","617.5","617.5","        53","        41","        0","         8","         4","       179","         8","       174","        60","-22.2","0","127.0","69.3","42.2","-5.0","-5.0","-5.0","-11.1","-11.1","0.0","-3.9","-5.6","-8.3","-10.6","3217.5","3217.5","516.2","482.0","11.4","20.3","2.4"
"USC00252065","CULBERTSON, NE US","1927","507.0","507.0","        65","        46","        0","        14","        18","       163","        34","       175","        57","-28.9","0","178.0","47.5","38.9","-1.1","-2.2","-4.4","-7.8","-9.4","-0.6","-3.3","-5.0","-17.2","-17.2","3214.1","3214.1","579.5","1141.0","10.3","18.6","1.9"
"USC00252065","CULBERTSON, NE US","1928",,,"        71","        53","        2","         7",,,"         7","       174","        46",,"102","127.0","48.8","40.6",,,,,,,,,,,"3167.8","3167.8","744.3","444.0",,"19.4",
"USC00252065","CULBERTSON, NE US","1929","626.0","626.0","        56","        39","        3","         8","        20","       160","        33","       162","        68","-30.6","127","203.0","58.4","41.1","-0.6","-3.9","-5.6","-7.8","-11.1","0.0","-3.9","-5.0","-7.8","-11.1",,,"462.1","571.0","10.2","18.2","2.1"
"USC00252065","CULBERTSON, NE US","1930","551.5","551.5","        65","        53","        0","         8","        15","       171","        23","       187","        45","-31.1","0","152.0","50.3","40.0","-1.1","-3.3","-4.4","-6.7","-8.9","-1.1","-3.3","-9.4","-9.4","-9.4","3395.4","3395.4","755.9","635.0","10.9","19.2","2.5"
"USC00252065","CULBERTSON, NE US","1931",,,"        55","        36","        2","        11","         2","       170",,,,"-17.8","152","152.0","59.7",,"-0.6","-3.3","-5.6","-10.6","-10.6","-2.2","-2.2","-4.4","-15.6","-15.6",,,"423.6","760.0",,,"3.2"
